Name,Rating,Reviews,Location and Description,Salaries,Interviews,Jobs
Maersk,4.0,(3.6k),Logistics | Chennai +49 other locations,18.6k Salaries,241 Interviews,65 Jobs
Grasim Industries,4.0,(3.6k),Building Material | Bharuch +232 other locations,12.5k Salaries,266 Interviews,4 Jobs
Tata Capital,3.9,(3.6k),NBFC | Mumbai +341 other locations,11.2k Salaries,185 Interviews,1.1k Jobs
Kyndryl,3.9,(3.6k),IT Services & Consulting | Bangalore / Bengaluru +36 other locations,25.5k Salaries,213 Interviews,19 Jobs
Godrej & Boyce Manufacturing,3.9,(3.5k),Consumer Electronics & Appliances | Mumbai +163 other locations,14.9k Salaries,217 Interviews,73 Jobs
Cogent E Services,3.1,(3.5k),BPO | Noida +55 other locations,10k Salaries,289 Interviews,1 Jobs
Birlasoft,3.5,(3.5k),IT Services & Consulting | Pune +49 other locations,29.5k Salaries,311 Interviews,-- Jobs
Dabur,3.9,(3.5k),FMCG | New Delhi +317 other locations,8.6k Salaries,320 Interviews,15 Jobs
Samvardhana Motherson Group,3.7,(3.5k),Auto Components | Noida +91 other locations,12.1k Salaries,254 Interviews,11 Jobs
Glenmark Pharmaceuticals,3.8,(3.5k),Pharma | Mumbai +178 other locations,12.1k Salaries,173 Interviews,119 Jobs
Abbott,4.1,(3.5k),Pharma | Mumbai +211 other locations,11.5k Salaries,175 Interviews,288 Jobs
Synechron,3.5,(3.5k),IT Services & Consulting | Pune +31 other locations,27.5k Salaries,400 Interviews,63 Jobs
Bharat Electronics,4.2,(3.5k),Electronics Manufacturing | Bangalore / Bengaluru +88 other locations,12.3k Salaries,238 Interviews,-- Jobs
Kotak Mahindara Life Insurance,3.5,(3.5k),Insurance | Mumbai +251 other locations,12.5k Salaries,256 Interviews,253 Jobs
JK Cement,4.0,(3.5k),Building Material | New Delhi +319 other locations,9.6k Salaries,320 Interviews,2 Jobs
